match_label,event_name,event_time,volume_detected,sentiment_detected,dual_detected,volume_gap_min,sentiment_gap_min,dual_gap_min,window_tweet_total,peak_count_z,peak_sent_z,peak_dual_score,volume_hit,sentiment_hit,dual_hit
POR-ESP,Ronaldo hat-trick goal 3,2018-06-15 21:44:00,,,,,,,0,,,,False,False,False
ARG-ISL,Messi penalty miss,2018-06-16 16:19:00,,,,,,,0,,,,False,False,False
GER-MEX,Lozano goal,2018-06-17 18:35:00,,,,,,,0,,,,False,False,False
GER-SWE,Kroos free kick,2018-06-23 21:26:00,,,,,,,0,,,,False,False,False
NGA-ARG,Rojo goal Argentina qualify,2018-06-26 21:52:00,,,,,,,0,,,,False,False,False
KOR-GER,Germany eliminated,2018-06-27 17:24:00,,,,,,,0,,,,False,False,False
FRA-ARG,Mbappe goal 1,2018-06-30 17:13:00,2018-06-30 17:05:00,2018-06-30 17:13:00,2018-06-30 17:14:00,8.0,0.0,1.0,2756,1.7298067104907806,3.793143162569581,2.4952440623045,False,True,True
FRA-ARG,Mbappe goal 2,2018-06-30 17:19:00,2018-06-30 17:24:00,2018-06-30 17:27:00,2018-06-30 17:14:00,5.0,8.0,5.0,2434,0.8313634325927921,5.508842165013457,2.4952440623045,True,False,True
ESP-RUS,Smolov goal,2018-07-01 17:12:00,2018-07-01 17:02:00,2018-07-01 17:02:00,2018-07-01 17:02:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
ESP-RUS,Dzyuba penalty,2018-07-01 17:40:00,2018-07-01 17:30:00,2018-07-01 17:30:00,2018-07-01 17:30:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
ESP-RUS,Penalty shootout,2018-07-01 18:20:00,2018-07-01 18:10:00,2018-07-01 18:10:00,2018-07-01 18:10:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
CRO-DEN,Modric penalty miss,2018-07-01 21:38:00,2018-07-01 21:44:00,2018-07-01 21:43:00,2018-07-01 21:41:00,6.0,5.0,3.0,1460,1.2122086107552634,6.100466273594108,5.085299145991766,False,True,True
CRO-DEN,Croatia win shootout,2018-07-01 22:10:00,2018-07-01 22:05:00,2018-07-01 22:19:00,2018-07-01 22:05:00,5.0,9.0,5.0,971,1.6076739056032188,7.916322996555548,10.41365779333812,True,False,True
BRA-MEX,Neymar goal,2018-07-02 17:51:00,2018-07-02 17:41:00,2018-07-02 17:41:00,2018-07-02 17:41:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
BEL-JPN,Belgium comeback win,2018-07-02 22:09:00,2018-07-02 21:59:00,2018-07-02 21:59:00,2018-07-02 21:59:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
COL-ENG,England win shootout,2018-07-03 22:33:00,2018-07-03 22:23:00,2018-07-03 22:26:00,2018-07-03 22:23:00,10.0,7.0,10.0,664,1.0540348655642506,3.4529647273125215,1.954699903031403,False,False,False
BRA-BEL,Fernandinho own goal,2018-07-06 21:31:00,2018-07-06 21:21:00,2018-07-06 21:21:00,2018-07-06 21:21:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
RUS-CRO,Croatia win shootout,2018-07-07 21:57:00,2018-07-07 21:47:00,2018-07-07 21:47:00,2018-07-07 21:47:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
FRA-BEL,Umtiti goal,2018-07-10 21:51:00,2018-07-10 21:41:00,2018-07-10 21:41:00,2018-07-10 21:41:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
CRO-ENG,Mandzukic winner,2018-07-11 22:08:00,2018-07-11 21:58:00,2018-07-11 21:58:00,2018-07-11 21:58:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
FRA-CRO,Mandzukic own goal,2018-07-15 18:18:00,2018-07-15 18:13:00,2018-07-15 18:17:00,2018-07-15 18:13:00,5.0,1.0,5.0,3443,1.287263208637764,10.531272419932133,2.4856688564524863,True,True,True
FRA-CRO,Perisic equalizer,2018-07-15 18:28:00,2018-07-15 18:21:00,2018-07-15 18:18:00,2018-07-15 18:18:00,7.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
FRA-CRO,Griezmann penalty,2018-07-15 18:38:00,2018-07-15 18:28:00,2018-07-15 18:28:00,2018-07-15 18:28:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
FRA-CRO,Pogba goal,2018-07-15 18:59:00,2018-07-15 18:49:00,2018-07-15 18:49:00,2018-07-15 18:49:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
FRA-CRO,Mbappe goal,2018-07-15 19:05:00,2018-07-15 18:55:00,2018-07-15 18:55:00,2018-07-15 18:55:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
FRA-CRO,France win World Cup,2018-07-15 20:09:00,2018-07-15 19:59:00,2018-07-15 19:59:00,2018-07-15 19:59:00,10.0,10.0,10.0,0,0.0,0.0,0.0,False,False,False
